vx11-switch-test  | INFO:     127.0.0.1:36286 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:44778 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:52262 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:40786 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:49040 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:40828 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:44634 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:51318 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:57690 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:37838 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:41398 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:52378 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:38892 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:45682 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:44000 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:41158 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:51042 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:40448 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:34798 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:50774 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:36264 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:53848 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:32872 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:42080 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:35032 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:40744 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:52118 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:54512 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:51812 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:59548 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:54248 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:46384 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:59358 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:34154 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:57152 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:32870 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:55318 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:36654 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:40402 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:51114 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47106 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:39602 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:55096 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:55944 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:33236 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:58702 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:33396 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:37248 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:50214 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:39624 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:58832 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:42598 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:53052 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:59130 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:50472 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:50940 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:36512 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:54358 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:52470 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:33160 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:44574 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:45328 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:52704 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:35030 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:37288 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:45726 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:57448 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:56012 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:35496 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:54124 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:37430 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:37548 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:42946 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:35278 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:60110 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:34050 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:53032 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:60204 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:36640 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:60774 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:58158 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:42638 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:40214 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:51914 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:41978 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:45982 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:50656 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47004 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:38256 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:41306 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:38384 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:52808 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:44470 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:58184 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:52056 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:57476 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:36322 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:35786 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:44060 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47370 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:43884 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:57284 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:56590 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:60470 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:46188 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:39518 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:55114 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:39736 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:48734 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47954 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:44880 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47718 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:35752 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:57132 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:50778 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:60242 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:52682 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47600 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:36960 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:56910 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:42436 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:60198 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:43142 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:36624 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:46364 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:49130 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:51202 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:49810 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:51188 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:51196 - "POST /switch/task HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47060 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:49976 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:48470 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:50478 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:35342 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:43760 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:36992 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:55942 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:60266 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:52364 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47332 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:59812 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:41368 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:59766 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:47630 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:42650 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:36872 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:33204 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:60224 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:33584 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:43976 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     172.18.0.3:44238 - "GET /health HTTP/1.1" 200 OK
vx11-switch-test  | INFO:     127.0.0.1:50660 - "GET /health HTTP/1.1" 200 OK
