vx11-tentaculo-link-test  | INFO:     172.18.0.1:45366 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:44424 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59026 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59032 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:54092 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:52986 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:41694 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:41708 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:37736 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:47638 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:47640 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:43230 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:56710 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:41222 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:41230 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:59458 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:43264 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:43280 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:36114 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:56588 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:53722 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:53736 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:60466 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:53194 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:53206 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:44562 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:55388 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:50130 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:50144 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:34500 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:56182 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:56186 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:44798 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:55206 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:37850 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:37864 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:40640 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:56696 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:56706 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:43984 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:40828 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:43788 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:43800 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:51014 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:60340 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:60344 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:45966 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:41790 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:43122 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:43128 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:51162 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:51674 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:51680 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:45312 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:33430 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:39348 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:39350 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:40396 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:32784 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:32792 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:38210 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:39708 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:55022 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:55038 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:50366 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:46302 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:46318 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:44012 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:46174 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:36296 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:36312 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:45152 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:53832 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:53848 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:47764 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:41056 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:47634 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:47646 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:59776 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:50166 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:50170 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:57900 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:49118 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:37270 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:37286 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:52126 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:35450 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:35458 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:53870 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:32862 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:34724 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:34734 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:56800 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:45624 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:45640 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:57998 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:49692 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:42226 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:42234 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:50706 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:45868 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:45882 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:52086 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:42918 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:40472 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:40484 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:36790 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:39158 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:39168 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:52538 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:44860 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:42078 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:42084 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:42090 - "GET /openapi.json HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:55786 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:35494 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:35506 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:44126 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     127.0.0.1:49226 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52656 - "GET /operator/api/events HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     172.18.0.1:52670 - "GET /operator/api/window/status HTTP/1.1" 401 Unauthorized
vx11-tentaculo-link-test  | INFO:     127.0.0.1:39354 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59448 - "GET /health HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59464 - "GET /vx11/status HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59480 - "POST /vx11/window/open HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59484 - "POST /vx11/window/open HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59500 - "POST /vx11/window/open HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59516 - "POST /vx11/intent HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59532 - "POST /vx11/spawn HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59542 - "GET /vx11/result/spawn-0f4bfb1a HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59544 - "POST /vx11/spawn HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59548 - "GET /vx11/result/spawn-c300c78f HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59556 - "POST /vx11/spawn HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59570 - "GET /vx11/result/spawn-ac44903d HTTP/1.1" 200 OK
vx11-tentaculo-link-test  | INFO:     172.18.0.1:59586 - "GET /vx11/result/spawn-ac44903d HTTP/1.1" 200 OK
