vx11-spawner-test  | INFO:     127.0.0.1:43352 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:59514 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:41532 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:38532 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:55682 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:44360 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:58032 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:35940 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:57296 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:42496 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:49692 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:46010 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:34892 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:41842 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:52000 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:47964 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:49988 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:49506 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:59728 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:42266 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:43756 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:50466 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:34770 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:40938 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:56668 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:41728 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:41520 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:59688 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:43748 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:35398 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:35202 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:41066 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:51828 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:53634 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:45596 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:42000 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:34878 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:42652 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:51350 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:59488 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:43404 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:53240 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:43930 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:49050 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:55578 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:53748 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:50490 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:55428 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:35610 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:40544 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:38764 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:51556 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:50872 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:51790 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:36808 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:36670 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:47980 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:60444 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:49238 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:58562 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:55426 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:60154 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:59264 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:56006 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:54994 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:52038 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:55520 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:54920 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:54568 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:58718 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:38834 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:43728 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:59822 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:59940 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:36464 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:35404 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:51290 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:53854 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:59274 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:50838 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:39230 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:55534 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:50362 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:33842 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:44892 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:56380 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:49472 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:33856 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:57614 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:46006 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:56206 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:57274 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:37440 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:42074 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     172.18.0.3:39698 - "GET /health HTTP/1.1" 200 OK
vx11-spawner-test  | INFO:     127.0.0.1:60404 - "GET /health HTTP/1.1" 200 OK
