vx11-hermes-test  | INFO:     Started server process [1]
vx11-hermes-test  | INFO:     127.0.0.1:57962 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:42492 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:36694 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:50528 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:44624 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:33982 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:46534 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:57638 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:37176 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:55354 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:38180 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:47486 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:57818 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:47622 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:33706 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:43478 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:39226 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:41270 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:54842 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:60454 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:38932 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:36566 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:34566 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:45330 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:57442 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:39822 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:47650 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:54896 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:59884 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:35606 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:37804 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:34574 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:53320 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:49014 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:34652 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:37310 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:53276 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:38534 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:46352 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:37614 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:44414 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:59198 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:49296 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:44512 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:40994 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:47486 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:43556 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:45646 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:56270 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:44582 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:37556 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:46646 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:39610 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:53946 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:50854 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:43498 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:41230 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:57996 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:38040 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:50618 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:49598 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     172.18.0.7:54972 - "GET /hermes/resources HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     172.18.0.7:54982 - "POST /hermes/execute HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:37844 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:60402 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:33742 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:33522 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:45714 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:57750 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:37764 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:40234 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:40608 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:34886 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     172.18.0.4:38380 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:55740 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     172.18.0.4:38394 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:43172 - "GET /health HTTP/1.1" 200 OK
vx11-hermes-test  | INFO:     127.0.0.1:36622 - "GET /health HTTP/1.1" 200 OK
